施設,年月日,時刻,人数
ひがし茶屋街,2025/9/6,2,0
ひがし茶屋街,2025/9/6,3,0
ひがし茶屋街,2025/9/6,4,1
ひがし茶屋街,2025/9/6,5,4
ひがし茶屋街,2025/9/6,6,6
ひがし茶屋街,2025/9/6,7,13
ひがし茶屋街,2025/9/6,8,19
ひがし茶屋街,2025/9/6,9,46
ひがし茶屋街,2025/9/6,10,48
ひがし茶屋街,2025/9/6,11,43
ひがし茶屋街,2025/9/6,12,40
ひがし茶屋街,2025/9/6,13,40
ひがし茶屋街,2025/9/6,14,37
ひがし茶屋街,2025/9/6,15,34
ひがし茶屋街,2025/9/6,16,25
ひがし茶屋街,2025/9/6,17,21
